rank,image,confidence,tp,fp,acc_tp,acc_fp,precision,recall
1,130,0.999980,1,0,1,0,1.000000,0.005000
2,131,0.999980,1,0,2,0,1.000000,0.010000
3,71,0.999980,1,0,3,0,1.000000,0.015000
4,15,0.999964,1,0,4,0,1.000000,0.020000
5,75,0.999949,1,0,5,0,1.000000,0.025000
6,174,0.999917,1,0,6,0,1.000000,0.030000
7,535,0.999912,0,1,6,1,0.857143,0.030000
8,91,0.999905,1,0,7,1,0.875000,0.035000
9,101,0.999893,1,0,8,1,0.888889,0.040000
10,181,0.999889,1,0,9,1,0.900000,0.045000
11,88,0.999877,1,0,10,1,0.909091,0.050000
12,120,0.999872,1,0,11,1,0.916667,0.055000
13,95,0.999869,1,0,12,1,0.923077,0.060000
14,84,0.999855,1,0,13,1,0.928571,0.065000
15,189,0.999850,1,0,14,1,0.933333,0.070000
16,44,0.999846,1,0,15,1,0.937500,0.075000
17,148,0.999816,1,0,16,1,0.941176,0.080000
18,64,0.999806,1,0,17,1,0.944444,0.085000
19,2,0.999798,1,0,18,1,0.947368,0.090000
20,37,0.999793,1,0,19,1,0.950000,0.095000
21,163,0.999780,1,0,20,1,0.952381,0.100000
22,57,0.999772,1,0,21,1,0.954545,0.105000
23,113,0.999742,1,0,22,1,0.956522,0.110000
24,182,0.999741,1,0,23,1,0.958333,0.115000
25,51,0.999734,1,0,24,1,0.960000,0.120000
26,170,0.999728,1,0,25,1,0.961538,0.125000
27,121,0.999720,1,0,26,1,0.962963,0.130000
28,150,0.999714,1,0,27,1,0.964286,0.135000
29,167,0.999714,0,1,27,2,0.931034,0.135000
30,102,0.999712,1,0,28,2,0.933333,0.140000
31,109,0.999705,1,0,29,2,0.935484,0.145000
32,33,0.999703,1,0,30,2,0.937500,0.150000
33,27,0.999699,1,0,31,2,0.939394,0.155000
34,171,0.999692,1,0,32,2,0.941176,0.160000
35,108,0.999688,1,0,33,2,0.942857,0.165000
36,125,0.999676,1,0,34,2,0.944444,0.170000
37,18,0.999666,1,0,35,2,0.945946,0.175000
38,52,0.999644,1,0,36,2,0.947368,0.180000
39,445,0.999640,0,1,36,3,0.923077,0.180000
40,118,0.999607,1,0,37,3,0.925000,0.185000
41,97,0.999578,1,0,38,3,0.926829,0.190000
42,334,0.999565,0,1,38,4,0.904762,0.190000
43,96,0.999557,1,0,39,4,0.906977,0.195000
44,67,0.999556,1,0,40,4,0.909091,0.200000
45,135,0.999553,1,0,41,4,0.911111,0.205000
46,22,0.999530,1,0,42,4,0.913043,0.210000
47,156,0.999511,1,0,43,4,0.914894,0.215000
48,143,0.999504,1,0,44,4,0.916667,0.220000
49,25,0.999497,1,0,45,4,0.918367,0.225000
50,92,0.999487,1,0,46,4,0.920000,0.230000
51,26,0.999482,1,0,47,4,0.921569,0.235000
52,13,0.999432,1,0,48,4,0.923077,0.240000
53,81,0.999393,1,0,49,4,0.924528,0.245000
54,44,0.999391,1,0,50,4,0.925926,0.250000
55,94,0.999387,1,0,51,4,0.927273,0.255000
56,144,0.999375,1,0,52,4,0.928571,0.260000
57,552,0.999375,0,1,52,5,0.912281,0.260000
58,78,0.999372,1,0,53,5,0.913793,0.265000
59,159,0.999366,1,0,54,5,0.915254,0.270000
60,70,0.999344,1,0,55,5,0.916667,0.275000
61,107,0.999337,1,0,56,5,0.918033,0.280000
62,60,0.999308,1,0,57,5,0.919355,0.285000
63,188,0.999294,1,0,58,5,0.920635,0.290000
64,116,0.999289,1,0,59,5,0.921875,0.295000
65,34,0.999287,1,0,60,5,0.923077,0.300000
66,122,0.999283,1,0,61,5,0.924242,0.305000
67,168,0.999258,1,0,62,5,0.925373,0.310000
68,0,0.999250,1,0,63,5,0.926471,0.315000
69,73,0.999244,1,0,64,5,0.927536,0.320000
70,17,0.999225,1,0,65,5,0.928571,0.325000
71,190,0.999209,1,0,66,5,0.929577,0.330000
72,20,0.999184,1,0,67,5,0.930556,0.335000
73,43,0.999178,1,0,68,5,0.931507,0.340000
74,157,0.999177,1,0,69,5,0.932432,0.345000
75,45,0.999175,1,0,70,5,0.933333,0.350000
76,176,0.999170,1,0,71,5,0.934211,0.355000
77,103,0.999153,0,1,71,6,0.922078,0.355000
78,19,0.999143,1,0,72,6,0.923077,0.360000
79,85,0.999123,1,0,73,6,0.924051,0.365000
80,138,0.999118,1,0,74,6,0.925000,0.370000
81,477,0.999096,0,1,74,7,0.913580,0.370000
82,134,0.999068,1,0,75,7,0.914634,0.375000
83,63,0.999036,1,0,76,7,0.915663,0.380000
84,493,0.999035,0,1,76,8,0.904762,0.380000
85,549,0.999034,0,1,76,9,0.894118,0.380000
86,153,0.999004,1,0,77,9,0.895349,0.385000
87,48,0.998960,1,0,78,9,0.896552,0.390000
88,12,0.998948,1,0,79,9,0.897727,0.395000
89,58,0.998919,1,0,80,9,0.898876,0.400000
90,139,0.998895,1,0,81,9,0.900000,0.405000
91,191,0.998892,1,0,82,9,0.901099,0.410000
92,117,0.998889,1,0,83,9,0.902174,0.415000
93,69,0.998867,1,0,84,9,0.903226,0.420000
94,103,0.998862,1,0,85,9,0.904255,0.425000
95,68,0.998844,1,0,86,9,0.905263,0.430000
96,128,0.998831,1,0,87,9,0.906250,0.435000
97,142,0.998801,1,0,88,9,0.907216,0.440000
98,137,0.998793,1,0,89,9,0.908163,0.445000
99,158,0.998791,1,0,90,9,0.909091,0.450000
100,65,0.998736,1,0,91,9,0.910000,0.455000
101,132,0.998695,1,0,92,9,0.910891,0.460000
102,104,0.998694,1,0,93,9,0.911765,0.465000
103,62,0.998659,1,0,94,9,0.912621,0.470000
104,105,0.998589,1,0,95,9,0.913462,0.475000
105,77,0.998583,1,0,96,9,0.914286,0.480000
106,173,0.998512,1,0,97,9,0.915094,0.485000
107,133,0.998492,1,0,98,9,0.915888,0.490000
108,445,0.998487,0,1,98,10,0.907407,0.490000
109,154,0.998471,1,0,99,10,0.908257,0.495000
110,178,0.998469,1,0,100,10,0.909091,0.500000
111,126,0.998456,1,0,101,10,0.909910,0.505000
112,47,0.998432,1,0,102,10,0.910714,0.510000
113,192,0.998381,1,0,103,10,0.911504,0.515000
114,100,0.998344,1,0,104,10,0.912281,0.520000
115,480,0.998234,0,1,104,11,0.904348,0.520000
116,86,0.998231,1,0,105,11,0.905172,0.525000
117,42,0.998195,1,0,106,11,0.905983,0.530000
118,16,0.998180,1,0,107,11,0.906780,0.535000
119,167,0.998176,1,0,108,11,0.907563,0.540000
120,111,0.998175,1,0,109,11,0.908333,0.545000
121,10,0.998168,1,0,110,11,0.909091,0.550000
122,40,0.998109,1,0,111,11,0.909836,0.555000
123,112,0.998079,1,0,112,11,0.910569,0.560000
124,66,0.998070,1,0,113,11,0.911290,0.565000
125,323,0.997795,0,1,113,12,0.904000,0.565000
126,7,0.997784,1,0,114,12,0.904762,0.570000
127,31,0.997634,1,0,115,12,0.905512,0.575000
128,30,0.997601,1,0,116,12,0.906250,0.580000
129,61,0.997596,1,0,117,12,0.906977,0.585000
130,445,0.997559,0,1,117,13,0.900000,0.585000
131,28,0.997540,1,0,118,13,0.900763,0.590000
132,49,0.997411,1,0,119,13,0.901515,0.595000
133,50,0.997310,1,0,120,13,0.902256,0.600000
134,557,0.997146,0,1,120,14,0.895522,0.600000
135,115,0.997139,1,0,121,14,0.896296,0.605000
136,185,0.997024,1,0,122,14,0.897059,0.610000
137,23,0.996958,1,0,123,14,0.897810,0.615000
138,557,0.996886,0,1,123,15,0.891304,0.615000
139,183,0.996798,1,0,124,15,0.892086,0.620000
140,140,0.996791,1,0,125,15,0.892857,0.625000
141,56,0.996521,1,0,126,15,0.893617,0.630000
142,106,0.996455,1,0,127,15,0.894366,0.635000
143,127,0.996439,1,0,128,15,0.895105,0.640000
144,74,0.996301,1,0,129,15,0.895833,0.645000
145,160,0.996261,1,0,130,15,0.896552,0.650000
146,560,0.996247,0,1,130,16,0.890411,0.650000
147,436,0.996075,0,1,130,17,0.884354,0.650000
148,213,0.996021,0,1,130,18,0.878378,0.650000
149,99,0.995987,1,0,131,18,0.879195,0.655000
150,480,0.995959,0,1,131,19,0.873333,0.655000
151,123,0.995683,1,0,132,19,0.874172,0.660000
152,187,0.995629,1,0,133,19,0.875000,0.665000
153,1,0.995497,1,0,134,19,0.875817,0.670000
154,252,0.995488,0,1,134,20,0.870130,0.670000
155,89,0.995485,1,0,135,20,0.870968,0.675000
156,324,0.995437,0,1,135,21,0.865385,0.675000
157,179,0.995204,1,0,136,21,0.866242,0.680000
158,114,0.995176,1,0,137,21,0.867089,0.685000
159,119,0.995016,1,0,138,21,0.867925,0.690000
160,164,0.994960,1,0,139,21,0.868750,0.695000
161,80,0.994892,1,0,140,21,0.869565,0.700000
162,177,0.994854,1,0,141,21,0.870370,0.705000
163,409,0.994850,0,1,141,22,0.865031,0.705000
164,493,0.994808,0,1,141,23,0.859756,0.705000
165,76,0.994682,1,0,142,23,0.860606,0.710000
166,237,0.994361,0,1,142,24,0.855422,0.710000
167,526,0.994318,0,1,142,25,0.850299,0.710000
168,129,0.994262,1,0,143,25,0.851190,0.715000
169,21,0.994205,1,0,144,25,0.852071,0.720000
170,24,0.994164,0,1,144,26,0.847059,0.720000
171,546,0.993589,0,1,144,27,0.842105,0.720000
172,223,0.993529,0,1,144,28,0.837209,0.720000
173,82,0.993490,1,0,145,28,0.838150,0.725000
174,39,0.993220,1,0,146,28,0.839080,0.730000
175,495,0.992869,0,1,146,29,0.834286,0.730000
176,87,0.992504,0,1,146,30,0.829545,0.730000
177,162,0.992422,1,0,147,30,0.830508,0.735000
178,90,0.992214,1,0,148,30,0.831461,0.740000
179,427,0.992200,0,1,148,31,0.826816,0.740000
180,172,0.992182,1,0,149,31,0.827778,0.745000
181,59,0.991903,1,0,150,31,0.828729,0.750000
182,418,0.991499,0,1,150,32,0.824176,0.750000
183,141,0.991457,1,0,151,32,0.825137,0.755000
184,397,0.991371,0,1,151,33,0.820652,0.755000
185,504,0.991334,0,1,151,34,0.816216,0.755000
186,220,0.991247,0,1,151,35,0.811828,0.755000
187,5,0.991188,1,0,152,35,0.812834,0.760000
188,9,0.991140,1,0,153,35,0.813830,0.765000
189,457,0.991115,0,1,153,36,0.809524,0.765000
190,55,0.990895,1,0,154,36,0.810526,0.770000
191,124,0.990413,1,0,155,36,0.811518,0.775000
192,169,0.990140,1,0,156,36,0.812500,0.780000
193,151,0.989173,1,0,157,36,0.813472,0.785000
194,432,0.989145,0,1,157,37,0.809278,0.785000
195,93,0.988920,1,0,158,37,0.810256,0.790000
196,513,0.988572,0,1,158,38,0.806122,0.790000
197,184,0.988397,1,0,159,38,0.807107,0.795000
198,38,0.988341,1,0,160,38,0.808081,0.800000
199,149,0.988223,1,0,161,38,0.809045,0.805000
200,438,0.988207,0,1,161,39,0.805000,0.805000
201,180,0.987677,1,0,162,39,0.805970,0.810000
202,106,0.986630,1,0,163,39,0.806931,0.815000
203,83,0.986060,1,0,164,39,0.807882,0.820000
204,175,0.985314,1,0,165,39,0.808824,0.825000
205,24,0.985264,0,1,165,40,0.804878,0.825000
206,136,0.985105,0,1,165,41,0.800971,0.825000
207,464,0.984886,0,1,165,42,0.797101,0.825000
208,508,0.983484,0,1,165,43,0.793269,0.825000
209,434,0.983400,0,1,165,44,0.789474,0.825000
210,3,0.983270,0,1,165,45,0.785714,0.825000
211,54,0.982230,1,0,166,45,0.786730,0.830000
212,8,0.981092,1,0,167,45,0.787736,0.835000
213,535,0.980853,0,1,167,46,0.784038,0.835000
214,383,0.980016,0,1,167,47,0.780374,0.835000
215,110,0.977577,1,0,168,47,0.781395,0.840000
216,546,0.976633,0,1,168,48,0.777778,0.840000
217,165,0.976192,1,0,169,48,0.778802,0.845000
218,467,0.975001,0,1,169,49,0.775229,0.845000
219,425,0.974654,0,1,169,50,0.771689,0.845000
220,493,0.974050,0,1,169,51,0.768182,0.845000
221,6,0.973733,1,0,170,51,0.769231,0.850000
222,11,0.972748,1,0,171,51,0.770270,0.855000
223,436,0.971253,0,1,171,52,0.766816,0.855000
224,29,0.969196,1,0,172,52,0.767857,0.860000
225,161,0.966854,1,0,173,52,0.768889,0.865000
226,166,0.965795,0,1,173,53,0.765487,0.865000
227,35,0.964549,1,0,174,53,0.766520,0.870000
228,98,0.959018,1,0,175,53,0.767544,0.875000
229,36,0.958135,1,0,176,53,0.768559,0.880000
230,34,0.956944,0,1,176,54,0.765217,0.880000
231,152,0.956908,1,0,177,54,0.766234,0.885000
232,436,0.956615,0,1,177,55,0.762931,0.885000
233,500,0.954519,0,1,177,56,0.759657,0.885000
234,448,0.947736,0,1,177,57,0.756410,0.885000
235,334,0.946613,0,1,177,58,0.753191,0.885000
236,155,0.945545,0,1,177,59,0.750000,0.885000
237,526,0.945483,0,1,177,60,0.746835,0.885000
238,24,0.944204,1,0,178,60,0.747899,0.890000
239,41,0.943456,1,0,179,60,0.748954,0.895000
240,166,0.936125,1,0,180,60,0.750000,0.900000
241,445,0.935362,0,1,180,61,0.746888,0.900000
242,559,0.924452,0,1,180,62,0.743802,0.900000
243,457,0.919270,0,1,180,63,0.740741,0.900000
244,36,0.916340,1,0,181,63,0.741803,0.905000
245,186,0.911200,1,0,182,63,0.742857,0.910000
246,14,0.910994,0,1,182,64,0.739837,0.910000
247,377,0.905902,0,1,182,65,0.736842,0.910000
248,415,0.896532,0,1,182,66,0.733871,0.910000
249,53,0.893026,1,0,183,66,0.734940,0.915000
250,147,0.889759,0,1,183,67,0.732000,0.915000
251,49,0.887444,0,1,183,68,0.729084,0.915000
252,72,0.883218,1,0,184,68,0.730159,0.920000
253,457,0.875107,0,1,184,69,0.727273,0.920000
254,24,0.858194,0,1,184,70,0.724409,0.920000
255,515,0.854273,0,1,184,71,0.721569,0.920000
256,436,0.850838,0,1,184,72,0.718750,0.920000
257,79,0.849561,1,0,185,72,0.719844,0.925000
258,411,0.844108,0,1,185,73,0.717054,0.925000
259,14,0.843368,1,0,186,73,0.718147,0.930000
260,430,0.834620,0,1,186,74,0.715385,0.930000
261,66,0.830220,0,1,186,75,0.712644,0.930000
262,389,0.823879,0,1,186,76,0.709924,0.930000
263,280,0.820421,0,1,186,77,0.707224,0.930000
264,495,0.815771,0,1,186,78,0.704545,0.930000
265,424,0.811801,0,1,186,79,0.701887,0.930000
266,198,0.811338,0,1,186,80,0.699248,0.930000
267,186,0.807201,0,1,186,81,0.696629,0.930000
268,32,0.799281,0,1,186,82,0.694030,0.930000
269,440,0.792323,0,1,186,83,0.691450,0.930000
270,376,0.789533,0,1,186,84,0.688889,0.930000
271,3,0.788845,0,1,186,85,0.686347,0.930000
272,415,0.786978,0,1,186,86,0.683824,0.930000
273,455,0.772592,0,1,186,87,0.681319,0.930000
274,334,0.767341,0,1,186,88,0.678832,0.930000
275,417,0.754479,0,1,186,89,0.676364,0.930000
276,551,0.745957,0,1,186,90,0.673913,0.930000
277,146,0.735129,1,0,187,90,0.675090,0.935000
278,186,0.735009,0,1,187,91,0.672662,0.935000
279,51,0.730118,0,1,187,92,0.670251,0.935000
280,463,0.729795,0,1,187,93,0.667857,0.935000
281,519,0.724490,0,1,187,94,0.665480,0.935000
282,254,0.716645,0,1,187,95,0.663121,0.935000
283,461,0.716329,0,1,187,96,0.660777,0.935000
284,4,0.715749,1,0,188,96,0.661972,0.940000
285,62,0.703731,0,1,188,97,0.659649,0.940000
